,0
542,361115.3024762
543,361115.3175708
544,361115.3177485
545,361115.3178097
546,361115.3178388
547,361115.3179757
548,361115.3180156
549,361115.3180514
550,361115.3326636
551,361115.3327099
552,361115.3327205
553,361115.3478213
554,361115.3478859
555,361115.3479316
556,361115.3638278
557,361115.3638698
558,361115.3639135
559,361115.37865
560,361115.3787061
561,361115.3787488
562,361115.378778
563,361115.3788035
564,361115.3942119
565,361115.3943857
566,361115.3944137
567,361115.3944426
568,361115.3944655
569,361115.4250597
570,361115.4571854
571,361115.4573556
572,361115.4573835
573,361115.4573982
574,361115.4737577
575,361115.4738335
576,361115.4740931
577,361115.4742523
578,361115.4743892
579,361115.4898238
580,361115.490048
581,361115.4902237
582,361115.4903549
583,361115.4904807
584,361115.4906011
585,361115.5054294
586,361115.505675
587,361115.5058742
588,361115.5059997
589,361115.5061226
590,361115.5062421
591,361115.5064374
592,361115.5065662
593,361115.5066761
594,361115.506792
595,361115.521389
596,361115.5216929
597,361115.5219606
598,361115.522102
599,361115.522225
600,361115.522344
601,361115.5368228
602,361115.5518684
603,361115.5522113
604,361115.5524863
605,361115.5528883
606,361115.5531528
607,361115.553519
608,361115.5679818
609,361115.5682677
610,361115.5686502
611,361115.5691706
612,361115.5694485
613,361115.5842281
614,361115.5997289
615,361115.5999594
616,361115.6001258
617,361115.6002911
618,361115.6004048
619,361115.6154122
620,361115.615498
621,361115.6155515
622,361115.6156071
623,361115.6309074
624,361115.6309843
625,361115.6310351
626,361115.646424
627,361115.6465932
628,361115.6466392
629,361115.6466509
630,361115.6467388
631,361115.6467681
632,361115.6618411
633,361115.6621175
634,361115.6777038
635,361115.6777516
636,361115.6777629
637,361115.6777728
638,361115.6777816
639,361115.6943044
640,361115.6944471
641,361115.6944771
642,361115.6945064
643,361115.7106186
644,361115.7109361
645,361115.7109653
646,361115.7109761
647,361115.7109857
648,361115.7265361
649,361115.7268545
650,361115.7270927
651,361115.7274996
652,361115.7421877
653,361115.7423844
654,361115.7424813
655,361115.7575231
656,361115.7575611
657,361115.7576002
658,361115.7576225
659,361115.773191
660,361115.8048122
661,361115.8049772
662,361115.8052316
663,361115.8207869
664,361115.8518689
665,361115.851951
666,361115.8519727
667,361115.86684
668,361115.866991
669,361115.8670203
670,361115.8670504
671,361115.8673246
672,361115.8674009
673,361115.867596
674,361115.8823877
675,361115.8825669
676,361115.8827564
677,361115.8828816
678,361115.882924
679,361115.8976389
680,361115.8978874
681,361115.8979461
682,361115.8980529
683,361115.8982485
684,361115.9131695
685,361115.913255
686,361115.9133562
687,361115.9134831
688,361115.9135876
689,361115.9136975
690,361115.9138063
691,361115.9139318
692,361115.914025
693,361115.9290337
694,361115.9293706
695,361115.9295272
696,361115.9296465
697,361115.9297506
698,361115.9298594
699,361115.9299659
700,361115.9300736
701,361115.9456507
702,361115.9459743
703,361115.9462304
704,361115.9462839
705,361115.9619923
706,361115.9622579
707,361115.9624258
708,361115.9627011
709,361115.962879
710,361115.9630782
711,361115.977543
712,361115.9778193
713,361115.9779759
714,361115.9942561
715,361115.9943368
716,361115.9943913
717,361115.9944128
718,361115.994487
719,361116.0093195
720,361116.0093766
721,361116.009472
722,361116.0253759
723,361116.0256043
724,361116.0259647
725,361116.0410022
726,361116.0412619
727,361116.0416721
728,361116.0423105
729,361116.042512
730,361116.0565258
731,361116.0566151
732,361116.0566492
733,361116.0566726
734,361116.0717027
735,361116.0717999
736,361116.0720326
737,361116.0873486
738,361116.0873975
739,361116.0874453
740,361116.0874943
741,361116.1028728
742,361116.1030628
743,361116.1032491
744,361116.1032788
745,361116.1189011
746,361116.1191048
747,361116.1192565
748,361116.1194078
749,361116.119542
750,361116.1339481
751,361116.1497898
752,361116.1499588
753,361116.1807169
754,361116.1808258
755,361116.1964751
756,361116.1965585
757,361116.1966604
758,361116.1967052
759,361116.1967154
760,361116.1967246
761,361116.1967501
762,361116.1967779
763,361116.1967913
764,361116.2116286
765,361116.2118163
766,361116.2118479
767,361116.2118784
768,361116.2119023
769,361116.2119295
770,361116.2119432
771,361116.2269257
772,361116.2270432
773,361116.2272207
774,361116.2274004
775,361116.2275168
776,361116.2420204
777,361116.2420674
778,361116.2422852
779,361116.2424061
780,361116.2577837
781,361116.2581594
782,361116.2581905
783,361116.2585569
784,361116.2735005
785,361116.2735396
786,361116.2735547
787,361116.2886986
788,361116.2888475
789,361116.2892099
790,361116.2894135
791,361116.2895435
792,361116.3043864
793,361116.3044656
794,361116.3044799
795,361116.3046425
796,361116.3198787
797,361116.3200549
798,361116.3200829
799,361116.3202754
800,361116.3204732
801,361116.3355392
802,361116.3515341
803,361116.3518663
804,361116.3520304
805,361116.3521293
806,361116.352157
807,361116.3521715
808,361116.3671727
809,361116.3672892
810,361116.3674869
811,361116.3827498
812,361116.3828844
813,361116.3829137
814,361116.382963
815,361116.3983634
816,361116.3983985
817,361116.3984087
818,361116.3984524
819,361116.3985498
820,361116.4134803
821,361116.4135214
822,361116.4135383
823,361116.4292012
824,361116.4292438
825,361116.4292545
826,361116.4603665
827,361116.4768188
828,361116.477024
829,361116.4770574
830,361116.4770738
831,361116.4771107
832,361116.4772218
833,361116.4772495
834,361116.4772853
835,361116.4773075
836,361116.4773305
837,361116.4774365
838,361116.4774829
839,361116.4918434
840,361116.492008
841,361116.4920255
842,361116.4920367
843,361116.507755
844,361116.5078631
845,361116.5391118
846,361116.5391597
847,361116.5541703
848,361116.569293
849,361116.569335
850,361116.5696748
851,361116.5700234
852,361116.5703882
853,361116.5705417
854,361116.5848824
855,361116.5850831
856,361116.5855393
857,361116.5857276
858,361116.600245
859,361116.6004957
860,361116.6007838
861,361116.6010739
862,361116.6012959
863,361116.6014922
864,361116.6154928
865,361116.615882
866,361116.6160738
867,361116.6162458
868,361116.6163715
869,361116.6163967
870,361116.6164069
871,361116.6164165
872,361116.6312079
873,361116.6314768
874,361116.6320531
875,361116.6322128
876,361116.6323843
877,361116.6325134
878,361116.6466646
879,361116.6617695
880,361116.6619508
881,361116.6622211
882,361116.662272
883,361116.6622897
884,361116.6780068
885,361116.6781294
886,361116.6782537
887,361116.6783863
888,361116.6947549
889,361116.6949422
890,361116.6951782
891,361116.6955555
892,361116.7107466
893,361116.710797
894,361116.7108085
895,361116.7109261
896,361116.7263589
897,361116.7264672
898,361116.7268255
899,361116.7271286
900,361116.7418277
901,361116.7419942
902,361116.7421856
903,361116.7423716
904,361116.7576643
905,361116.7577673
906,361116.7578945
907,361116.7579948
908,361116.7582415
909,361116.7583261
910,361116.7741068
911,361116.7741995
912,361116.7743443
913,361116.7900249
914,361116.7900753
915,361116.7901431
916,361116.7902787
917,361116.7903813
918,361116.8054121
919,361116.8207076
920,361116.8207802
921,361116.8209364
922,361116.8209927
923,361116.8210265
924,361116.8210516
925,361116.8360623
926,361116.8361766
927,361116.8363386
928,361116.8515232
929,361116.8517899
930,361116.8520592
931,361116.8522438
932,361116.8523799
933,361116.8675293
934,361116.8679531
935,361116.86832
936,361116.8981995
937,361116.8983121
938,361116.9294304
939,361116.9295701
940,361116.9297123
941,361116.9297994
942,361116.9452966
943,361116.9453374
944,361116.9453727
945,361116.9454009
946,361116.9454373
947,361116.9455642
948,361116.9609001
949,361116.9609564
950,361116.9610317
951,361116.9611421
952,361116.9612277
953,361116.9613048
954,361116.9613493
955,361116.9614428
956,361116.9614774
957,361116.9764371
958,361116.9766543
959,361116.9778786
960,361116.977906
961,361116.9779164
962,361116.9779262
963,361116.9918637
964,361116.9921279
965,361116.9924621
966,361116.9924874
967,361117.0083461
968,361117.0086001
969,361117.0087378
970,361117.008786
971,361117.0088555
972,361117.0089086
973,361117.0242759
974,361117.0243844
975,361117.0245742
976,361117.0397259
977,361117.0399121
978,361117.0401337
979,361117.0555481
980,361117.0557057
981,361117.0558147
982,361117.0559327
983,361117.0564092
984,361117.056632
985,361117.0708703
986,361117.0711548
987,361117.1022575
988,361117.1026764
989,361117.103178
990,361117.1034208
991,361117.117873
992,361117.118114
993,361117.1186646
994,361117.1190355
995,361117.1193501
996,361117.1195741
997,361117.1342008
998,361117.1343686
999,361117.1345227
1000,361117.1345819
1001,361117.1346359
1002,361117.1347344
1003,361117.1347687
1004,361117.149361
1005,361117.1494382
1006,361117.1654424
1007,361117.1656326
1008,361117.1657043
1009,361117.1657293
1010,361117.1658378
1011,361117.1803449
1012,361117.1804997
1013,361117.1805612
1014,361117.1959866
1015,361117.196123
1016,361117.1961606
1017,361117.1963054
1018,361117.2118381
